"Ref_ID","Cross_Ref_ID","Data_source","Title","Authors","Abstract_old","Abstract","S_Ref_Year","Journal","Volume","Start_page","End_page","Address","PubMed_entry","PubMed","Exclude_analysis","WGS_WXS","Comment","Tissue_processing","Start_material","Prescreening","Material_sequenced","Confirmation","exon2","exon3","exon4","exon5","exon6","exon7","exon8","exon9","exon10","exon11"
276,87,"journal","p53 gene alterations in human prostate carcinoma","net.sourceforge.jtds.jdbc.ClobImpl@3cfdb788","net.sourceforge.jtds.jdbc.ClobImpl@b79b9d3","net.sourceforge.jtds.jdbc.ClobImpl@58e262d9",1993,"J Urol",150,257,261,"net.sourceforge.jtds.jdbc.ClobImpl@386a28fe","PM:0008510267","0008510267",false,"No","See ref 87","frozen","DNA","SSCP","direct",false,false,false,true,true,true,true,true,true,false,false
277,,"journal","Mutations in the P53 tumour suppressor gene in primary lung cancer in Japan","net.sourceforge.jtds.jdbc.ClobImpl@697a998c","net.sourceforge.jtds.jdbc.ClobImpl@2f0b0251","net.sourceforge.jtds.jdbc.ClobImpl@64b449c3",1992,"Biochem Biophys Res Commun",183,1139,1146,"net.sourceforge.jtds.jdbc.ClobImpl@df0a073","PM:0001348931","0001348931",false,"No","Add info sent by K.Kondo","frozen","RNA","SSCP","cloned",false,true,true,true,true,true,true,true,true,true,true
278,,"journal","p53 and chromosome 3 abnormalities, characteristic of malignant lung tumours, are detectable in preinvasive lesions of the bronchus","net.sourceforge.jtds.jdbc.ClobImpl@30fbfeb8","net.sourceforge.jtds.jdbc.ClobImpl@47156b7c","net.sourceforge.jtds.jdbc.ClobImpl@1a9d80c",1992,"Oncogene",7,1989,1997,"net.sourceforge.jtds.jdbc.ClobImpl@9520372","PM:0001408139","0001408139",false,"No","","fixed","DNA","none","direct",false,false,false,false,true,true,true,true,false,false,false
279,,"journal","Frequent association of p53 gene mutation in invasive bladder cancer","net.sourceforge.jtds.jdbc.ClobImpl@66b322de","net.sourceforge.jtds.jdbc.ClobImpl@a91ebff","net.sourceforge.jtds.jdbc.ClobImpl@45373b19",1992,"Cancer Res",52,1393,1398,"net.sourceforge.jtds.jdbc.ClobImpl@5c67f95e","PM:0001540947","0001540947",false,"No","","","DNA","SSCP","cloned",false,false,false,true,true,true,true,true,true,true,true
280,,"journal","p53 alterations in human squamous cell carcinomas and carcinoma cell lines","net.sourceforge.jtds.jdbc.ClobImpl@233d95de","net.sourceforge.jtds.jdbc.ClobImpl@26764c55","net.sourceforge.jtds.jdbc.ClobImpl@5ae54471",1993,"Am J Pathol",142,1131,1139,"net.sourceforge.jtds.jdbc.ClobImpl@39abfb7a","PM:0007682763","0007682763",false,"No","","frozen","DNA","none","cloned",false,false,false,true,true,true,true,true,true,false,false
281,,"journal","Gene p53 mutations are restricted to poorly differentiated and undifferentiated carcinomas of the thyroid gland","net.sourceforge.jtds.jdbc.ClobImpl@76f70af4","net.sourceforge.jtds.jdbc.ClobImpl@62f7e49b","net.sourceforge.jtds.jdbc.ClobImpl@12c1f278",1993,"J Clin Invest",91,1753,1760,"net.sourceforge.jtds.jdbc.ClobImpl@74d7ab71","PM:0008473515","0008473515",false,"No","","fixed/frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,true,false,false
282,,"journal","p53 mutations are infrequent and do not correlate with the metastatic potential of human melanoma cells","net.sourceforge.jtds.jdbc.ClobImpl@3a39afb5","net.sourceforge.jtds.jdbc.ClobImpl@67b74755","net.sourceforge.jtds.jdbc.ClobImpl@7af82be9",1993,"Int J Oncol",3,19,22,"","PM:21573319","21573319",false,"No","","","DNA","SSCP","direct",false,false,false,false,true,true,true,true,true,false,false
283,,"journal","p53 mutations at A:T base pairs in angiosarcomas of vinyl chloride- exposed factory workers","net.sourceforge.jtds.jdbc.ClobImpl@33bd8be4","net.sourceforge.jtds.jdbc.ClobImpl@440ede21","net.sourceforge.jtds.jdbc.ClobImpl@195eb41a",1994,"Carcinogenesis",15,1,3,"net.sourceforge.jtds.jdbc.ClobImpl@224263bb","PM:0008293534","0008293534",false,"No","","","DNA","none","direct",true,false,false,false,true,true,true,true,false,false,false
284,,"journal","Unifocal origin of advanced human epithelial ovarian cancers","net.sourceforge.jtds.jdbc.ClobImpl@7dff2ebc","net.sourceforge.jtds.jdbc.ClobImpl@4f3208f4","net.sourceforge.jtds.jdbc.ClobImpl@23a09b6c",1992,"Cancer Res",52,5119,5122,"net.sourceforge.jtds.jdbc.ClobImpl@12ce7b18","PM:0001516069","0001516069",false,"No","","","DNA","SSCP","direct",false,false,false,true,true,true,true,true,false,false,false
285,,"journal","p53 gene mutations in pontine gliomas of juvenile onset","net.sourceforge.jtds.jdbc.ClobImpl@16c03d33","net.sourceforge.jtds.jdbc.ClobImpl@496af2b7","net.sourceforge.jtds.jdbc.ClobImpl@6e367b0d",1993,"Biochem Biophys Res Commun",196,851,857,"net.sourceforge.jtds.jdbc.ClobImpl@f41db68","PM:0008240361","0008240361",false,"No","","fixed","DNA","SSCP","cloned",false,false,false,false,true,true,true,true,false,false,false
286,,"journal","p53 and N-ras mutations in two new leukemia cell lines established from a patient with multilineage CD7-positive acute leukemia","net.sourceforge.jtds.jdbc.ClobImpl@18ff5616","net.sourceforge.jtds.jdbc.ClobImpl@61ef0f4","net.sourceforge.jtds.jdbc.ClobImpl@5b2d1d29",1993,"Blood",82,2829,2836,"net.sourceforge.jtds.jdbc.ClobImpl@5ab617bf","PM:0007693050","0007693050",false,"No","","","DNA/RNA","none","direct",false,false,false,false,true,true,true,true,false,false,false
287,,"journal","p53 gene mutation spectrum in human unknown primary tumors","net.sourceforge.jtds.jdbc.ClobImpl@389bb519","net.sourceforge.jtds.jdbc.ClobImpl@49737bae","net.sourceforge.jtds.jdbc.ClobImpl@7a84e3fc",1993,"Anticancer Res",13,1619,1623,"net.sourceforge.jtds.jdbc.ClobImpl@106508fc","PM:0008239543","0008239543",false,"No","","fixed","DNA","SSCP","direct",true,false,false,false,true,true,true,true,true,false,false
288,,"journal","Correlation between p53 mutations and antibody staining in breast carcinoma","net.sourceforge.jtds.jdbc.ClobImpl@75b35494","net.sourceforge.jtds.jdbc.ClobImpl@27cfff87","net.sourceforge.jtds.jdbc.ClobImpl@7a097381",1993,"Br J Surg",80,1410,1412,"net.sourceforge.jtds.jdbc.ClobImpl@4293a6d4","PM:0008252351","0008252351",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
289,,"journal","p53 gene mutation in B-cell chronic lymphocytic leukemia is associated with drug resistance and is independent of MDR1/MDR3 gene expression","net.sourceforge.jtds.jdbc.ClobImpl@2d6b4de6","net.sourceforge.jtds.jdbc.ClobImpl@7580ac0b","net.sourceforge.jtds.jdbc.ClobImpl@44a44c41",1993,"Blood",82,3452,3459,"net.sourceforge.jtds.jdbc.ClobImpl@1bdef707","PM:0008241511","0008241511",false,"No","","","DNA","SSCP","direct",false,false,false,true,true,true,true,true,true,false,false
290,154,"journal","Alterations of the Rb gene and its association with Ki-ras activation and p53 inactivation in endometrial adenocarcinoma","net.sourceforge.jtds.jdbc.ClobImpl@6c2d8de7","net.sourceforge.jtds.jdbc.ClobImpl@1cbd849d","net.sourceforge.jtds.jdbc.ClobImpl@7a9d150f",1993,"Mol Carcinog",8,132,137,"net.sourceforge.jtds.jdbc.ClobImpl@1617b394","PM:0008105795","0008105795",false,"No","","","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
291,,"journal","Mutations in the P53 and RAS family genes are associated with tumor progression of BCR/ABL negative chronic myeloproliferative disorders","net.sourceforge.jtds.jdbc.ClobImpl@16d55604","net.sourceforge.jtds.jdbc.ClobImpl@663ca12f","net.sourceforge.jtds.jdbc.ClobImpl@749bf58a",1993,"Leukemia",7,946,953,"net.sourceforge.jtds.jdbc.ClobImpl@5f3b739e","PM:0008321046","0008321046",false,"No","","","DNA","SSCP","direct",false,false,false,false,true,true,true,true,true,false,false
292,,"journal","An atypical carcinoid tumor of the lung with mutations in the p53 gene and the retinoblastoma gene","net.sourceforge.jtds.jdbc.ClobImpl@63e27b0b","net.sourceforge.jtds.jdbc.ClobImpl@60549b81","net.sourceforge.jtds.jdbc.ClobImpl@4b4815a4",1993,"Chest",104,1606,1607,"net.sourceforge.jtds.jdbc.ClobImpl@4feb28d0","PM:0008222834","0008222834",false,"No","","frozen","DNA","DGGE","direct",false,false,false,false,true,false,false,false,false,false,false
293,,"journal","Gene analysis of K-,H-ras, p53 and retinoblastoma susceptibility genes in human lung cancer cell lines by the polymerase chain reaction/single-strand conformation polymorphism method","net.sourceforge.jtds.jdbc.ClobImpl@3fa12805","net.sourceforge.jtds.jdbc.ClobImpl@7b6d24e3","net.sourceforge.jtds.jdbc.ClobImpl@7003eb1f",1993,"J Cancer Res Clin Oncol",120,143,148,"net.sourceforge.jtds.jdbc.ClobImpl@6638e067","PM:0008263009","0008263009",false,"No","","fresh","DNA","SSCP","direct",false,false,false,false,true,true,true,true,true,false,false
294,,"journal","Mutations of the p53 tumor suppressor gene and the ras gene family in intrahepatic cholangiocellular carcinomas in Japan and Thailand","net.sourceforge.jtds.jdbc.ClobImpl@506f1da5","net.sourceforge.jtds.jdbc.ClobImpl@42b76177","net.sourceforge.jtds.jdbc.ClobImpl@2d83312d",1993,"Mol Carcinog",8,312,318,"net.sourceforge.jtds.jdbc.ClobImpl@c99c722","PM:0008280380","0008280380",false,"No","","","DNA","SSCP","direct",false,false,false,true,true,true,true,true,false,false,false
295,,"journal","HPV detection and p53 alteration in squamous cell verrucous malignancies of the lower genital tract","net.sourceforge.jtds.jdbc.ClobImpl@24336121","net.sourceforge.jtds.jdbc.ClobImpl@5df61009","net.sourceforge.jtds.jdbc.ClobImpl@694858c3",1993,"Diagn Mol Pathol",2,248,256,"net.sourceforge.jtds.jdbc.ClobImpl@2baa221f","PM:0008118602","0008118602",false,"No","","fixed","DNA","SSCP","direct",false,false,false,false,true,true,true,true,true,false,false
296,,"journal","Mutation of the p53 tumor-suppressor gene is not a feature of endometrial hyperplasias","net.sourceforge.jtds.jdbc.ClobImpl@14af7422","net.sourceforge.jtds.jdbc.ClobImpl@79b458e6","net.sourceforge.jtds.jdbc.ClobImpl@52119953",1993,"Am J Obstet Gynecol",169,690,694,"net.sourceforge.jtds.jdbc.ClobImpl@28d1f3d4","PM:0008372881","0008372881",false,"No","","fixed/frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
297,,"journal","Identification of p53 gene mutations in gastrointestinal and pancreatic carcinoids by nonradioisotopic SSCA","net.sourceforge.jtds.jdbc.ClobImpl@47b09c88","net.sourceforge.jtds.jdbc.ClobImpl@1c188ff0","net.sourceforge.jtds.jdbc.ClobImpl@421d4621",1993,"Virchows Arch B Cell Pathol Incl Mol Pathol",64,293,296,"net.sourceforge.jtds.jdbc.ClobImpl@65f552e5","PM:0008287125","0008287125",false,"No","","fixed","DNA","TTGE","direct",false,false,false,false,true,true,true,true,false,false,false
298,,"journal","Molecular genetics of pediatric brain stem gliomas. Application of PCR techniques to small and archival brain tumor specimens","net.sourceforge.jtds.jdbc.ClobImpl@2662c60f","net.sourceforge.jtds.jdbc.ClobImpl@7e5daa3c","net.sourceforge.jtds.jdbc.ClobImpl@56d9c798",1993,"J Neuropathol Exp Neurol",52,507,515,"net.sourceforge.jtds.jdbc.ClobImpl@19f4c5dc","PM:0008103086","0008103086",false,"No","","fixed","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
299,,"journal","Analyses of p53 gene mutations in primary human bladder cancer","net.sourceforge.jtds.jdbc.ClobImpl@29963a53","net.sourceforge.jtds.jdbc.ClobImpl@3a096917","net.sourceforge.jtds.jdbc.ClobImpl@22f48cc9",1993,"Oncol Res",5,245,249,"net.sourceforge.jtds.jdbc.ClobImpl@1d11776e","PM:0008123944","0008123944",false,"No","","frozen","RNA","SSCP","direct",false,true,true,true,true,true,true,true,true,true,true
300,71,"journal","A correlative study of p53 protein alteration and p53 gene mutation in glioblastoma multiforme","net.sourceforge.jtds.jdbc.ClobImpl@54d923d","net.sourceforge.jtds.jdbc.ClobImpl@747d0252","net.sourceforge.jtds.jdbc.ClobImpl@72695ad0",1993,"Brain Pathol",3,229,235,"net.sourceforge.jtds.jdbc.ClobImpl@6455e9f4","PM:0008293182","0008293182",false,"No","Completed with ref 71","fixed","DNA","SSCP","direct",false,true,true,true,true,true,true,true,true,true,true
301,,"journal","Frequency of spontaneous p53 mutations (CpG site) in breast cancer in Japan","net.sourceforge.jtds.jdbc.ClobImpl@de04339","net.sourceforge.jtds.jdbc.ClobImpl@1113bf45","net.sourceforge.jtds.jdbc.ClobImpl@2914c86d",1993,"Breast Cancer Res Treat",27,247,252,"net.sourceforge.jtds.jdbc.ClobImpl@62c59ef2","PM:0008312582","0008312582",false,"No","","frozen","RNA","SSCP","cloned",false,false,false,false,true,true,true,true,false,false,false
302,,"journal","p53 mutations in lung cancers from non-smoking atomic-bomb survivors (published erratum appears in Lancet 1994 May 21;343(8908):1302)","net.sourceforge.jtds.jdbc.ClobImpl@6d33f018","net.sourceforge.jtds.jdbc.ClobImpl@61d6936c","net.sourceforge.jtds.jdbc.ClobImpl@6e0e789b",1993,"Lancet",342,1520,1521,"net.sourceforge.jtds.jdbc.ClobImpl@20f249a6","PM:0007902903","0007902903",false,"No","","","DNA","none","direct",true,false,false,false,true,true,true,true,false,false,false
303,,"journal","Frequently elevated content of immunochemically defined wild-type p53 protein in colorectal adenomas","net.sourceforge.jtds.jdbc.ClobImpl@5233de90","net.sourceforge.jtds.jdbc.ClobImpl@72b7a49","net.sourceforge.jtds.jdbc.ClobImpl@1afc0097",1993,"Oncogene",8,2653,2658,"net.sourceforge.jtds.jdbc.ClobImpl@2871d517","PM:0008378077","0008378077",false,"No","","","DNA","DGGE","direct",false,false,false,false,true,true,true,true,false,false,false
304,,"journal","p53 mutations in colorectal cancers in the patients of Metropolitan New York","net.sourceforge.jtds.jdbc.ClobImpl@64fa59d7","net.sourceforge.jtds.jdbc.ClobImpl@38df8e33","net.sourceforge.jtds.jdbc.ClobImpl@425dc907",1993,"Anticancer Res",13,1769,1772,"net.sourceforge.jtds.jdbc.ClobImpl@64a27536","PM:0008267380","0008267380",false,"No","","frozen","DNA","DGGE","cloned",true,false,false,false,true,true,true,true,false,false,false
305,305,"journal","The expression of p53 protein in non-Hodgkin's lymphomas is not always dependent on p53 gene mutations","net.sourceforge.jtds.jdbc.ClobImpl@52a0ac94","net.sourceforge.jtds.jdbc.ClobImpl@16ca1ee5","net.sourceforge.jtds.jdbc.ClobImpl@3a73e8ca",1993,"Blood",82,3151,3156,"net.sourceforge.jtds.jdbc.ClobImpl@4d0f2177","PM:0008219204","0008219204",false,"No","See ref 895 and 1573","frozen","DNA","none","direct",false,false,false,false,true,true,true,true,false,false,false
306,,"journal","Analysis of p53 mutations in a large series of lymphoid hematologic malignancies of childhood","net.sourceforge.jtds.jdbc.ClobImpl@1a9ce04e","net.sourceforge.jtds.jdbc.ClobImpl@5c67e8ce","net.sourceforge.jtds.jdbc.ClobImpl@79f77e30",1993,"Blood",82,3163,3169,"net.sourceforge.jtds.jdbc.ClobImpl@4dc7ece0","PM:0008219205","0008219205",false,"No","","","DNA","SSCP","direct",true,false,false,false,true,true,true,true,false,false,false
307,,"journal","Frequency of p53 tumor suppressor gene mutations in human primary brain tumors","net.sourceforge.jtds.jdbc.ClobImpl@30a4eb86","net.sourceforge.jtds.jdbc.ClobImpl@536644c4","net.sourceforge.jtds.jdbc.ClobImpl@11a2b666",1993,"Neurosurgery",33,824,830,"net.sourceforge.jtds.jdbc.ClobImpl@6370e85e","PM:0007903434","0007903434",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
308,,"journal","p53 mutations in all stages of thyroid carcinomas","net.sourceforge.jtds.jdbc.ClobImpl@741fd76d","net.sourceforge.jtds.jdbc.ClobImpl@153efd4e","net.sourceforge.jtds.jdbc.ClobImpl@11ab6809",1993,"J Clin endocrinol Metab",77,1054,1058,"net.sourceforge.jtds.jdbc.ClobImpl@75fd507a","PM:0008408453","0008408453",false,"No","","frozen","RNA","SSCP","cloned",false,false,false,false,true,true,true,true,false,false,false
309,,"journal","Evidence for the involvement of a potential second tumor suppressor gene on chromosome 17 distinct from p53 in malignant astrocytomas (published erratum appears in Cancer Res 1993 Mar 15;53(6):1472)","net.sourceforge.jtds.jdbc.ClobImpl@7fd35517","net.sourceforge.jtds.jdbc.ClobImpl@1de5032e","net.sourceforge.jtds.jdbc.ClobImpl@57c4dbbb",1992,"Cancer Res",52,6716,6721,"net.sourceforge.jtds.jdbc.ClobImpl@48a52fb9","PM:0001358438","0001358438",false,"No","","frozen","DNA","none","direct/cloned",false,false,false,false,true,true,true,true,true,false,false
310,,"journal","Possible association of p53 overexpression and mutation with high-grade chondrosarcoma","net.sourceforge.jtds.jdbc.ClobImpl@2d3bb057","net.sourceforge.jtds.jdbc.ClobImpl@18722aad","net.sourceforge.jtds.jdbc.ClobImpl@691a331b",1993,"Diagn Mol Pathol",2,257,263,"net.sourceforge.jtds.jdbc.ClobImpl@8a30166","PM:0008118603","0008118603",false,"No","","fixed","DNA","none","direct",false,false,false,true,true,true,true,true,true,false,false
311,,"journal","The relation between p53 mutation and p53 immunostaining in non- melanoma skin cancer","net.sourceforge.jtds.jdbc.ClobImpl@786ab12d","net.sourceforge.jtds.jdbc.ClobImpl@71c4dbcf","net.sourceforge.jtds.jdbc.ClobImpl@49feac07",1993,"Br J Dermatol",129,235,241,"net.sourceforge.jtds.jdbc.ClobImpl@59463c6f","PM:0008286219","0008286219",false,"No","","","DNA","none","direct",false,false,false,false,true,true,true,true,false,false,false
312,,"journal","Participation of p53 protein in the cellular response to DNA damage","net.sourceforge.jtds.jdbc.ClobImpl@74880db3","net.sourceforge.jtds.jdbc.ClobImpl@2345ba4e","net.sourceforge.jtds.jdbc.ClobImpl@1f67a4b5",1991,"Cancer Res",51,6304,6311,"net.sourceforge.jtds.jdbc.ClobImpl@77aa4672","PM:0001933891","0001933891",false,"No","","","DNA","none","cloned",false,false,false,false,true,true,true,true,true,false,false
313,,"journal","Frequency and characterization of p53 mutations in primary and metastatic human prostate cancer","net.sourceforge.jtds.jdbc.ClobImpl@437b38a1","net.sourceforge.jtds.jdbc.ClobImpl@4d626d4a","net.sourceforge.jtds.jdbc.ClobImpl@6f023a5f",1994,"Int J Cancer",56,630,633,"net.sourceforge.jtds.jdbc.ClobImpl@4abe681b","PM:0008314337","0008314337",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
314,,"journal","p53 mutations in human bladder cancer: genotypic versus phenotypic patterns","net.sourceforge.jtds.jdbc.ClobImpl@509affdd","net.sourceforge.jtds.jdbc.ClobImpl@e4cc0b9","net.sourceforge.jtds.jdbc.ClobImpl@7062c3ed",1994,"Int J Cancer",56,347,353,"net.sourceforge.jtds.jdbc.ClobImpl@49a5834a","PM:0007906253","0007906253",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,true,false,false
315,,"journal","Activation of p53 gene expression in premalignant lesions during head and neck tumorigenesis","net.sourceforge.jtds.jdbc.ClobImpl@4e46f9b4","net.sourceforge.jtds.jdbc.ClobImpl@26e7a1cd","net.sourceforge.jtds.jdbc.ClobImpl@40fc7357",1994,"Cancer Res",54,321,326,"net.sourceforge.jtds.jdbc.ClobImpl@252617d1","PM:0008275461","0008275461",false,"No","","fixed","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
316,,"journal","TP53 allele loss, mutations and expression in malignant melanoma","net.sourceforge.jtds.jdbc.ClobImpl@5c54c198","net.sourceforge.jtds.jdbc.ClobImpl@47a6fa16","net.sourceforge.jtds.jdbc.ClobImpl@64634f7e",1994,"Br J Cancer",69,253,259,"net.sourceforge.jtds.jdbc.ClobImpl@71ee44bc","PM:0007905277","0007905277",false,"No","","","DNA","CDGE","direct",false,false,false,false,true,true,true,true,false,false,false
317,,"journal","Retroviral-mediated transduction of p53 gene increases TGF-beta expression in a human glioblastoma cell line","net.sourceforge.jtds.jdbc.ClobImpl@bcc1318","net.sourceforge.jtds.jdbc.ClobImpl@7b4a2e3d","net.sourceforge.jtds.jdbc.ClobImpl@52c9695",1994,"Int J Cancer",56,834,839,"net.sourceforge.jtds.jdbc.ClobImpl@6e4e928","PM:0008119773","0008119773",false,"No","","","","","",false,false,false,false,false,false,false,false,false,false,false
318,,"journal","Alterations of the p53 tumor suppressor gene in diffuse large cell lymphomas with translocations of the c-MYC and BCL-2 proto-oncogenes","net.sourceforge.jtds.jdbc.ClobImpl@6ddb7e3f","net.sourceforge.jtds.jdbc.ClobImpl@474a9e7f","net.sourceforge.jtds.jdbc.ClobImpl@2633303d",1994,"Blood",83,191,198,"net.sourceforge.jtds.jdbc.ClobImpl@73f207a","PM:0008274734","0008274734",false,"No","","","DNA","none","direct",false,false,false,false,true,true,true,true,false,false,false
319,,"journal","p53 protein over-expression and p53 gene abnormalities in HIV-1-related non-Hodgkin's lymphomas","net.sourceforge.jtds.jdbc.ClobImpl@31238c24","net.sourceforge.jtds.jdbc.ClobImpl@22895519","net.sourceforge.jtds.jdbc.ClobImpl@1d043bad",1994,"Int J Cancer",56,662,667,"net.sourceforge.jtds.jdbc.ClobImpl@63c6f487","PM:0008314342","0008314342",false,"No","","frozen","DNA","IHC/SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
320,,"journal","Alterations of tumor suppressor genes and allelic losses in human hepatocellular carcinomas in China","net.sourceforge.jtds.jdbc.ClobImpl@4ea90677","net.sourceforge.jtds.jdbc.ClobImpl@26e0a326","net.sourceforge.jtds.jdbc.ClobImpl@1a053d04",1994,"Cancer Res",54,281,285,"net.sourceforge.jtds.jdbc.ClobImpl@4eb3800f","PM:0007903205","0007903205",false,"No","","frozen","DNA","SSCP","cloned",true,false,false,false,true,true,true,true,false,false,false
321,,"journal","p53 gene abnormalities are closely related to hepatoviral infections and occur at a late stage of hepatocarcinogenesis","net.sourceforge.jtds.jdbc.ClobImpl@48afad10","net.sourceforge.jtds.jdbc.ClobImpl@6bf5deb0","net.sourceforge.jtds.jdbc.ClobImpl@58ab23d7",1994,"Cancer Res",54,231,235,"net.sourceforge.jtds.jdbc.ClobImpl@aca7335","PM:0008261444","0008261444",false,"No","","frozen","DNA","none","direct",true,false,false,true,true,false,true,true,false,false,false
322,,"journal","Progression of basal cell carcinoma through loss of chromosome 9q and inactivation of a single p53 allele","net.sourceforge.jtds.jdbc.ClobImpl@3fb89851","net.sourceforge.jtds.jdbc.ClobImpl@7a7dd148","net.sourceforge.jtds.jdbc.ClobImpl@7b49f04b",1994,"Cancer Res",54,25,27,"net.sourceforge.jtds.jdbc.ClobImpl@224367cc","PM:0008261448","0008261448",false,"No","","fixed","DNA","none","cloned",false,false,false,false,true,true,true,true,false,false,false
323,,"journal","Analysis of the p53 gene and its expression in human glioblastoma cells","net.sourceforge.jtds.jdbc.ClobImpl@594219c5","net.sourceforge.jtds.jdbc.ClobImpl@4d216434","net.sourceforge.jtds.jdbc.ClobImpl@795e0e73",1994,"Cancer Res",54,649,652,"net.sourceforge.jtds.jdbc.ClobImpl@409a6b93","PM:0008306326","0008306326",false,"No","","frozen","DNA","none","cloned",false,false,false,false,true,true,true,true,true,false,false
324,,"journal","p53 gene mutation spectrum in hepatocellular carcinomas in Hong Kong Chinese","net.sourceforge.jtds.jdbc.ClobImpl@9dfde74","net.sourceforge.jtds.jdbc.ClobImpl@4f990bbf","net.sourceforge.jtds.jdbc.ClobImpl@46bda9a9",1994,"Oncogene",9,985,990,"net.sourceforge.jtds.jdbc.ClobImpl@55e8841e","PM:0008108145","0008108145",false,"No","","frozen","DNA","","direct",false,false,false,false,true,true,true,true,true,false,false
325,,"journal","p53 gene mutations in oropharyngeal carcinomas: a comparison of solitary and multiple primary tumours and lymph-node metastases","net.sourceforge.jtds.jdbc.ClobImpl@22b3dca9","net.sourceforge.jtds.jdbc.ClobImpl@2570efb3","net.sourceforge.jtds.jdbc.ClobImpl@eabfa55",1994,"Int J Cancer",56,807,811,"net.sourceforge.jtds.jdbc.ClobImpl@1f7247ea","PM:0008119770","0008119770",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
326,,"journal","Pattern of mutant p53 expression in human astrocytomas suggests the existence of alternate pathways of tumorigenesis","net.sourceforge.jtds.jdbc.ClobImpl@23988639","net.sourceforge.jtds.jdbc.ClobImpl@137e88e","net.sourceforge.jtds.jdbc.ClobImpl@501fc3af",1994,"Cancer",73,406,415,"net.sourceforge.jtds.jdbc.ClobImpl@5ddf9351","PM:0008293408","0008293408",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,false,false,false
327,,"journal","p53 gene mutations and steroid receptor status in breast cancer. Clinicopathologic correlations and prognostic assessment","net.sourceforge.jtds.jdbc.ClobImpl@3a116f9d","net.sourceforge.jtds.jdbc.ClobImpl@4dc93c9","net.sourceforge.jtds.jdbc.ClobImpl@2a702a46",1994,"Cancer",73,2147,2156,"net.sourceforge.jtds.jdbc.ClobImpl@b146142","PM:0008156519","0008156519",false,"No","","","DNA","DGGE","direct",false,false,false,false,true,true,true,true,true,false,false
328,,"journal","Genetic heterogeneity of hepatocellular carcinoma","net.sourceforge.jtds.jdbc.ClobImpl@3a489a3a","net.sourceforge.jtds.jdbc.ClobImpl@5aea1461","net.sourceforge.jtds.jdbc.ClobImpl@71e32760",1994,"Proc Natl Acad Sci U S A",91,822,826,"net.sourceforge.jtds.jdbc.ClobImpl@59d5466f","PM:0008290606","0008290606",false,"No","","","DNA","SSCP","cloned",false,false,false,false,true,true,true,true,true,false,false
329,,"journal","Frameshift and nonsense p53 mutations in squamous cell carcinoma of head and neck: Non-reactivity with three anti-p53 monoclonal antibodies","net.sourceforge.jtds.jdbc.ClobImpl@27b29e25","net.sourceforge.jtds.jdbc.ClobImpl@2df1dfae","net.sourceforge.jtds.jdbc.ClobImpl@45413557",1994,"Int J Oncol",4,609,614,"","PM:21566966","21566966",false,"No","","frozen","DNA","SSCP","direct",false,false,false,false,true,true,true,true,true,false,false
330,,"journal","Allelic deletions on chromosome 17","net.sourceforge.jtds.jdbc.ClobImpl@3654f5ae","net.sourceforge.jtds.jdbc.ClobImpl@52406f7","net.sourceforge.jtds.jdbc.ClobImpl@260ba552",1994,"Int J Oncol",4,37,42,"","NA","NA",false,"No","","frozen","DNA","none","cloned",false,false,false,false,true,true,true,true,true,false,false
331,,"journal","Nonhereditary p53 mutations in T-cell acute lymphoblastic leukemia are associated with the relapse phase","net.sourceforge.jtds.jdbc.ClobImpl@6a2cc749","net.sourceforge.jtds.jdbc.ClobImpl@7b44a627","net.sourceforge.jtds.jdbc.ClobImpl@5e720406",1994,"Blood",83,2922,2930,"net.sourceforge.jtds.jdbc.ClobImpl@25281baf","PM:0008180387","0008180387",false,"No","","frozen","DNA","SSCP","direct",false,false,false,true,true,true,true,true,true,false,false
332,,"journal","p53 mutations in cervical carcinogenesis--low frequency and lack of correlation with human papillomavirus status","net.sourceforge.jtds.jdbc.ClobImpl@29b286cc","net.sourceforge.jtds.jdbc.ClobImpl@77997843","net.sourceforge.jtds.jdbc.ClobImpl@39050082",1994,"Br J Cancer",69,732,737,"net.sourceforge.jtds.jdbc.ClobImpl@5c95916e","PM:0008142262","0008142262",false,"No","","frozen","DNA","DGGE","direct",false,false,false,false,true,true,true,true,false,false,false
